,actual_epochs,dataset.name,dataset.samples_train,gradient_norm_test,gradient_norm_train,log_dir,loss_test,loss_train,model.batch_size,model.epochs,model.error_threshold,model.hidden_size,model.init_scale,model.iteration,model.learning_rate,model.model_id,model.name,model.path_length_f_reg_coef,path_length_d_test,path_length_d_train,path_length_f_test,path_length_f_train,weights_product,weights_rms
55,1115,mnist29,10000,0.7584996819496155,0.7444519400596619,./d.n=mnist29_m.plfrc=0,0.024082308635115623,5.753302048105979e-06,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist29_m.plfrc=0,shallow,0.0,2.4040186405181885,2.4174530506134033,1.158478021621704,1.1839516162872314,14.123679161071777,0.0145143741662263
56,1078,mnist28,10000,0.9287389516830444,0.8526544570922852,./d.n=mnist28_m.plfrc=0,0.04285743832588196,8.03812417871086e-06,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist28_m.plfrc=0,shallow,0.0,3.2928059101104736,3.2970213890075684,1.2627567052841187,1.3384010791778564,21.628921508789062,0.01824948711704578
57,1104,mnist07,10000,0.6368095874786377,0.6041683554649353,./d.n=mnist07_m.plfrc=0,0.011426800861954689,8.17449290479999e-06,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist07_m.plfrc=0,shallow,0.0,1.8898720741271973,1.8648505210876465,1.159241795539856,1.1379833221435547,9.885607719421387,0.011941738470676191
58,1242,mnist69,10000,0.7990146279335022,0.7626004219055176,./d.n=mnist69_m.plfrc=0,0.014033033512532711,8.231295396399219e-06,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist69_m.plfrc=0,shallow,0.0,1.8123369216918945,1.8597065210342407,1.0914359092712402,1.0678738355636597,9.392112731933594,0.012285453444375382
59,1304,mnist47,10000,0.7588849067687988,0.6712475419044495,./d.n=mnist47_m.plfrc=0,0.02463848888874054,1.026461995934369e-05,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist47_m.plfrc=0,shallow,0.0,3.018453598022461,2.9862351417541504,1.196777582168579,1.1875110864639282,19.029409408569336,0.016577646859862905
60,1774,mnist12,10000,0.7243479490280151,0.7016342878341675,./d.n=mnist12_m.plfrc=0,0.018370259553194046,1.3466965356201399e-05,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist12_m.plfrc=0,shallow,0.0,2.4013500213623047,2.424368143081665,1.1376525163650513,1.1619924306869507,14.665216445922852,0.014250611500445386
61,1904,mnist19,10000,0.5918315052986145,0.598868191242218,./d.n=mnist19_m.plfrc=0,0.016252413392066956,7.869653018133249e-06,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist19_m.plfrc=0,shallow,0.0,2.0203797817230225,2.1110637187957764,1.02579665184021,1.0945285558700562,12.531206130981445,0.013059917078707276
62,960,mnist35,10000,1.0064101219177246,0.9084944128990173,./d.n=mnist35_m.plfrc=0,0.04867439344525337,1.4932593330740929e-05,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist35_m.plfrc=0,shallow,0.0,4.3082990646362305,4.173552513122559,1.319714069366455,1.3544858694076538,24.698457717895508,0.019502166230452696
63,2152,mnist16,10000,0.5740419626235962,0.5392649173736572,./d.n=mnist16_m.plfrc=0,0.01480252668261528,3.1122421205509454e-05,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist16_m.plfrc=0,shallow,0.0,1.9543349742889404,1.9900197982788086,1.0866540670394897,1.117046594619751,10.447124481201172,0.012483169618444877
64,965,mnist67,10000,0.7547133564949036,0.7079102396965027,./d.n=mnist67_m.plfrc=0,0.012294667772948742,7.090092822181759e-06,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist67_m.plfrc=0,shallow,0.0,1.654159665107727,1.686987280845642,1.121033787727356,1.1309136152267456,7.711238384246826,0.011055215053737905
65,1387,mnist09,10000,0.7015731334686279,0.6279195547103882,./d.n=mnist09_m.plfrc=0,0.018932394683361053,7.496322723454796e-06,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist09_m.plfrc=0,shallow,0.0,2.1882126331329346,2.1860239505767822,1.1983309984207153,1.17625093460083,13.453165054321289,0.013748145650111279
66,1131,mnist23,10000,0.8727689385414124,0.7981567978858948,./d.n=mnist23_m.plfrc=0,0.0343891903758049,7.501253094233107e-06,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist23_m.plfrc=0,shallow,0.0,3.661116600036621,3.599923610687256,1.253422737121582,1.2504668235778809,22.943391799926758,0.018903810577846313
67,1252,mnist78,10000,0.7926570773124695,0.7184652090072632,./d.n=mnist78_m.plfrc=0,0.03166109696030617,1.6374438928323798e-05,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist78_m.plfrc=0,shallow,0.0,2.6466219425201416,2.655620574951172,1.1663142442703247,1.2232671976089478,15.999072074890137,0.015252761393653435
68,1636,mnist24,10000,0.6682689189910889,0.6764563322067261,./d.n=mnist24_m.plfrc=0,0.020289931446313858,1.1172925951541401e-05,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist24_m.plfrc=0,shallow,0.0,2.759219169616699,2.804774761199951,1.2080204486846924,1.1771836280822754,15.861039161682129,0.016152940299219844
69,1992,mnist17,10000,0.9377101063728333,0.8560070991516113,./d.n=mnist17_m.plfrc=0,0.029436588287353516,7.010740773694124e-06,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist17_m.plfrc=0,shallow,0.0,2.7920775413513184,2.7829558849334717,1.1199475526809692,1.1052435636520386,15.827259063720703,0.014586295833557151
70,1631,mnist14,10000,0.5608519315719604,0.547389566898346,./d.n=mnist14_m.plfrc=0,0.006097294855862856,6.785603090975201e-06,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist14_m.plfrc=0,shallow,0.0,1.8857548236846924,1.9172431230545044,1.0880413055419922,1.0944435596466064,11.697710037231445,0.012515523685937509
71,4327,mnist18,10000,0.8587707281112671,0.8113724589347839,./d.n=mnist18_m.plfrc=0,0.010857605375349522,3.260526864323765e-05,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist18_m.plfrc=0,shallow,0.0,3.023968458175659,3.1209120750427246,1.2173782587051392,1.2648303508758545,20.07346534729004,0.01723899560625069
72,1139,mnist34,10000,0.5071098208427429,0.47331446409225464,./d.n=mnist34_m.plfrc=0,0.009924294427037239,1.0172095244342927e-05,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist34_m.plfrc=0,shallow,0.0,2.1003923416137695,2.2522029876708984,1.1077715158462524,1.1830693483352661,12.502130508422852,0.01341451377665891
